name,description,start_year,end_year,link
Objetivos de Desarrollo Sostenible,"En septiembre de 2015, 193 países adoptaron un conjunto de objetivos para erradicar la pobreza, proteger el planeta y garantizar la prosperidad para todos, como parte de la nueva Agenda de Desarrollo. Cada objetivo tiene metas específicas a ser logradas en los próximos 15 años.",2015,2030,https://www.un.org/sustainabledevelopment/es/objetivos-de-desarrollo-sostenible/
Plan Nacional de Desarrollo 2022-2026,"El PND 2022 – 2026 es uno de los planes más democráticos de l​a historia. Es el resultado de un proceso participativo que recibió más de 6.500 proposiciones y cuyas bases están inspiradas en las propuestas entregadas por los más de 250.000 colombianos y colombianas que participaron en los 51 Diálogos Regionales Vinculantes​. 

También de un proceso de socialización con la ciudadanía, grupos de interés, congresistas, y del Departamento Nacional de Planeación (DNP), espacios que enriquecieron la hoja de ruta planteada por el Gobierno nacional para los próximos cuatro años.",2022,2026,https://www.dnp.gov.co/plan-nacional-desarrollo/pnd-2022-2026
Plan de Desarrollo Departamental 2024 - 2027,"El Plan de Desarrollo Departamental “Es Tiempo de Santander” 2024 – 2027 tiene como punto de partida las propuestas contenidas en el programa de Gobierno del Mayor General (R) Juvenal Díaz Mateus, inscrito en la Registraduría General de la Nación y que resultó ganador en las elecciones del 30 de octubre de 2023. Se articula con el Plan Nacional de Desarrollo “Colombia Potencia Mundial de la Vida” 2022 – 2026; el Plan Estratégico de la Región Administrativa y de Planificación - RAP El Gran Santander; los Lineamientos y Directrices Departamentales de Ordenamiento Territorial – LDDOT, el Plan de Ordenamiento Departamental - POD de Santander que tiene como eje central el agua; el Plan Regional de Competitividad 2018 – 2032 y la Agenda de Competitividad e Innovación – ADCI, entre otros planes sectoriales, políticas públicas, así como el informe de empalme de la Administración Departamental saliente, diversos documentos de planeación y estudios existentes.",2024,2027,https://santander.gov.co/publicaciones/10108/plan-de-desarrollo-departamental-2024-2027/
PLAN DESAROLLO MUNICIPAL BUCARAMANGA AVANZA SEGURA 2024 - 2027,"El Plan Desarrollo Municipal 2024 – 2027 “Bucaramanga Avanza Segura” es producto de un ejercicio de
construcción colectiva desarrollado con los jóvenes, mujeres, poblaciones vulnerables, sectores
económicos, productivos, gremios, universidades, comunidades rurales y campesinas, ciudadanía en general
y un equipo de trabajo multidisciplinario. En el presente documento técnico se describe la visión de territorio
fundamentada en la seguridad, la sostenibilidad y la competitividad como ejes centrales para enfrentar
problemas estructurales de la ciudad como la inseguridad, la ilegalidad, la delincuencia, el caos en
movilidad, el desempleo, la falta de productividad, daños al medio ambiente y otros que afectan
directamente la calidad de vida de las personas, las familias y comunidades de Bucaramanga.",2024,2027,https://www.bucaramanga.gov.co/wp-content/uploads/2024/03/upload/1.%20PLAN%20DESAROLLO%20MUNICIPAL%20BUCARAMANGA%20AVANZA%20SEGURA%202024%20-%202027%20(V.10).pdf
