name,description
Pendiente de aprobación,El proyecto ha sido registrado y está en espera de ser revisado por el comité o evaluador correspondiente.
Aprobado,El proyecto ha sido revisado y aceptado para continuar con su desarrollo como proyecto de investigación.
Rechazado,El proyecto ha sido evaluado y no cumple con los requisitos mínimos para ser aceptado.
Devuelto para corrección,"El proyecto fue revisado, pero requiere ajustes o correcciones antes de poder ser aprobado."
Descartado,"El proyecto fue retirado del proceso por decisión del estudiante, el evaluador, por vencimiento de plazos, por antigüedad o por cualquier otro motivo."
